Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 7,Liiv SANDBOX,KT Rolster,0 - 2,2,13.4,Karma,Lucian,Annie,Ashe,Caitlyn,Varus,Sejuani,Wukong,Renekton,Azir,Gnar,Taliyah,Aphelios,Draven,Xayah,Ezreal,Zeri,Jinx,Tahm Kench,Lulu,Jungle,Mid,Top,Bot,Support,Jungle,Top,Mid,Bot,Support,SB,https://www.youtube.com/live/cJDzKsdte1M?feature=share&t=5618
Week 7,Liiv SANDBOX,KT Rolster,0 - 1,2,13.4,Sejuani,Lucian,Gragas,Varus,Ashe,Annie,Caitlyn,Karma,Wukong,Lux,Jayce,Ezreal,Elise,Renekton,Nidalee,Lissandra,Azir,Akali,Vi,Ornn,Bot,Support,Top,Mid,Jungle,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/cJDzKsdte1M?feature=share&t=2415
Week 7,DRX,Nongshim RedForce,02월 01일,1,13.4,K'Sante,Ashe,Karma,Annie,Sejuani,Caitlyn,Lee Sin,Lucian,Nami,Zeri,Lulu,Wukong,Vi,Gragas,Jax,Ahri,Renekton,Ornn,LeBlanc,Lissandra,Jungle,Bot,Support,Top,Mid,Bot,Support,Jungle,Top,Mid,SB,https://www.youtube.com/live/tshwthuYOAE?feature=share&t=18854
Week 7,Nongshim RedForce,DRX,01월 01일,1,13.4,Ashe,Annie,Caitlyn,Karma,Varus,Lucian,K'Sante,Zeri,Sejuani,Xayah,Rakan,Renata Glasc,Wukong,Fiora,Viego,Jax,Lee Sin,Vi,Gragas,Akali,Top,Bot,Support,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/tshwthuYOAE?feature=share&t=15352
Week 7,Nongshim RedForce,DRX,0 - 1,2,13.4,Ashe,Annie,Caitlyn,Karma,Varus,Lucian,Zeri,Sejuani,Tristana,Lulu,Wukong,Rell,K'Sante,Gragas,Gangplank,Jayce,Jax,Renekton,Akali,Taliyah,Bot,Support,Jungle,Top,Mid,Jungle,Bot,Support,Top,Mid,SB,https://www.youtube.com/live/tshwthuYOAE?feature=share&t=11997
Week 7,Hanwha Life Esports,Dplus KIA,0 - 2,2,13.4,Ashe,Elise,Caitlyn,Gnar,Annie,Wukong,Lee Sin,Lucian,Nami,Zeri,Lulu,Jayce,Akali,Sejuani,Gragas,Renekton,Viego,Ornn,LeBlanc,Lissandra,Jungle,Bot,Support,Top,Mid,Bot,Support,Top,Jungle,Mid,SB,https://www.youtube.com/live/tshwthuYOAE?feature=share&t=5893
Week 7,Hanwha Life Esports,Dplus KIA,0 - 1,2,13.4,Karma,Elise,Varus,Gnar,Ashe,Akali,Caitlyn,Annie,Lee Sin,Gragas,Jayce,Jinx,Lux,Renekton,Wukong,Ornn,Sion,Heimerdinger,Vi,Kalista,Bot,Mid,Top,Support,Jungle,Mid,Jungle,Bot,Top,Support,SB,https://www.youtube.com/live/tshwthuYOAE?feature=share&t=2444
Week 7,T1,BRION,2 - 0,1,13.4,Karma,Caitlyn,Annie,Ashe,Zeri,Lucian,Varus,Jayce,Gragas,Sejuani,Azir,Renekton,Gnar,Xayah,Kalista,Ziggs,Aphelios,Renata Glasc,Viego,Soraka,Bot,Top,Mid,Support,Jungle,Mid,Jungle,Top,Bot,Support,SB,https://www.youtube.com/live/ZHGejJd2Igs?feature=share&t=18087
Week 7,BRION,T1,0 - 1,2,13.4,Ashe,Annie,Jayce,Lucian,Varus,Caitlyn,Zeri,Aphelios,Gragas,Sejuani,Lulu,Thresh,Renekton,Lee Sin,Azir,Vi,Wukong,Fiora,Akali,Gnar,Bot,Jungle,Support,Top,Mid,Bot,Mid,Support,Jungle,Top,SB,https://www.youtube.com/live/ZHGejJd2Igs?feature=share&t=15438
Week 7,Liiv SANDBOX,Kwangdong Freecs,01월 02일,2,13.4,Sejuani,Caitlyn,Karma,Lucian,Annie,Ashe,Varus,Zeri,Wukong,Heimerdinger,Jayce,Lulu,Elise,K'Sante,Vi,Renekton,Gragas,Maokai,Jax,Ahri,Bot,Support,Mid,Jungle,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/ZHGejJd2Igs?feature=share&t=9327
Week 7,Kwangdong Freecs,Liiv SANDBOX,01월 01일,1,13.4,Jayce,Annie,Karma,Ashe,Caitlyn,Sejuani,Lee Sin,Zeri,Wukong,Xayah,Rakan,Lulu,Renekton,Akali,K'Sante,LeBlanc,Jax,Taliyah,Fiora,Ahri,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/ZHGejJd2Igs?feature=share&t=4998
